country_name,Air_pollution_exposure_to_PM2-5_per_cubic_metre_in_2019,
Korea,27,447
Türkiye,26,851
Chile,23,683
Poland,22,766
Mexico,20,108
Israel,19,424
Slovak Rep.,18,526
Slovenia,17,61
Czechia,16,965
Hungary,16,596
Italy,15,848
Greece,14,32
Japan,13,647
Belgium,12,726
Latvia,12,708
Austria,12,225
Netherlands,12,33
Germany,11,928
France,11,367
Lithuania,10,469
Luxembourg,10,89
Switzerland,10,44
United Kingdom,10,22
Spain,9,993
Denmark,9,785
Portugal,8,176
Ireland,7,848
United States,7,676
Canada,7,9
Australia,6,749
Norway,6,668
Iceland,6,374
New Zealand,6,5
Estonia,5,95
Sweden,5,721
Finland,5,638
OECD - Total,13,927
